_class,id,headline,title,url,avg_rating
course,1325686,A beginner course on Android Application development,Learn Android Application Development,/course/learn-android-application-development-y/,4.4307694
course,3588250,"What does it take to succeed in academia? There's more to it than just hard work, perseverance, and luck. Come find out!",Soft skills to be happy and productive in science / academia,/course/soft-skills-x/,4.5
course,1264544,Aromatherapy-Learn how to use essential oils in your everyday life safely and effectively to make your own products,Introductory Aromatherapy Course For Natural Living,/course/free-aromatherapy-using-essential-oils-in-your-daily-life/,4.65873
course,926630,"Learn how to create interactive Excel Dashboards in one hour. No special add-ins or tools required, just Excel.",Excel Dashboards in an Hour,/course/excel-dashboards-in-an-hour/,4.514151
course,399938,Learn how to design a logo that stands out from the crowd.,Professional Logo Design in Adobe Illustrator,/course/professional-logo-design-crash-course/,4.513889
course,5206992,"Take the comprehensive course on ChatGPT, GitHub Copilot, and Copilot Labs to learn how to write code 2x faster.","Become an AI-Powered Engineer: ChatGPT, Github Copilot",/course/become-an-ai-powered-engineer-chatgpt-github-copilot/,4.44
course,4626276,"Curious about Lean Six Sigma? Here's a brief introduction. 100,000+ certified worldwide. BKO accredited",Free Lean Six Sigma Introduction Course,/course/lean-six-sigma-introduction-course/,4.34375
course,4302209,Certified Yin Yoga Teacher Training for aspiring Yin Yoga Teachers,Free Yin Yoga Level 1 Teacher Training,/course/yin-yoga-free-teacher-training/,4.7045455
course,131416,Train your mind for success with the right thinking tools and habits!,Hyperthinking: improve your day to day learning & creativity,/course/hyperthinking-upgrade-your-mind-to-success-on-business/,4.388889
course,2843938,Python Object Oriented programming OOP advanced / Scripting for projects / automation / interview questions / beginners,Python OOP : Object Oriented Programming in Python,/course/object-oriented-python-programming/,4.3934913
course,2968644,Breast Cancer detection using Logistic Regression,Logistic Regression Practical Case Study,/course/logistic-regression-cancer-detection-case-study/,4.6365547
course,238788,Practical mindfulness meditation course showing the method how to increase concentration and reduce stress,Learn Mindfulness Meditation for a Calmer and Clearer mind,/course/mindfulness-stress-reduction/,4.465517
course,3845162,Master Data Visualization and Cleansing. No Microsoft Excel experience/training required!,Complete Tableau 2021 Training for Absolute Beginners [FREE],/course/tableau-for-beginners-free/,4.7310343
